algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
neural:leave_out_LR01,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7037437005039597,0.7331617189253082,0.2965451055662188,0.7744360902255639,0.6918873476250526,0.42886884108258155,0.3401498941990284,0.10336897278034907,1646,733,90,309,0.11813894162575404,0.7923144346785417,0.3945487977180163,-0.04559101436130201,0.9704074759332653,0.022318214542836574,62,0.022318214542836574,711,961.0,0.58013883351432,0.5531091102365312,0.5539893975077611,621,0.3646947806164882,0.08720112517580872,20,5,6,31,0.07331812889434587,0.6624883955833738,0.7666202170153459,0.6570113665163517
neural:leave_out_LR01,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7210223182145429,0.7296915049287784,0.30578512396694213,0.7418546365914787,0.7175283732660782,0.43306510607168985,0.3266836116287911,0.09706227171673955,1707,672,103,296,0.11813894162575404,0.8034056347257382,0.486491531883908,0.24593559239224297,1.1007906954987479,0.019438444924406047,56,0.020158387329013677,629,854.5,0.5990881377463078,0.573460985433111,0.5745755186328957,561,0.34819991453106464,0.0890302066772655,14,8,8,26,0.06551574417792355,0.6984573519892162,0.8201171990091863,0.6705714140434289
neural:leave_out_LR01,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.6803455723542117,0.7226293982117968,0.2803234501347709,0.7819548872180451,0.6633039092055486,0.4126984126984127,0.3419007056498628,0.10403554847174064,1578,801,87,312,0.11813894162575404,0.7909417301134298,0.40091915122229216,-0.2382064197456101,0.920524330624785,0.017638588912886968,49,0.017638588912886968,711,961.0,0.529230087771986,0.5056870801953282,0.5063091975080815,621,0.3000715250499794,0.06891701828410689,38,1,4,6,0.1018599430958812,0.5765306499194015,0.6771665241155359,0.5961864013200004
neural:leave_out_LR01,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.6990640748740101,0.7325153994696705,0.29367327667610954,0.7794486215538847,0.6855821773854561,0.42661179698216734,0.32632866902783414,0.09693096066675466,1631,748,88,311,0.11813894162575404,0.8045360353384512,0.48504964340275614,0.02805568325687687,1.0498181045304393,0.016198704103671708,45,0.016198704103671708,629,854.5,0.5480494562867808,0.5256599020099373,0.5268075249124881,561,0.2840293251248677,0.07154213036565978,32,4,6,3,0.09410667170793462,0.6092162456582575,0.7405350118744792,0.6105019158882649
neural:leave_out_LR01,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.6796256299496041,0.7232520140199175,0.2802148612354521,0.7844611528822055,0.6620428751576293,0.4129287598944591,0.35267639216892177,0.10899229073716982,1575,804,86,313,0.11813894162575404,0.7877180340510797,0.39264229169623527,-0.5411053568085366,0.8041123476105385,0.0183585313174946,51,0.0183585313174946,711,961.0,0.4525589311467642,0.43431563933187395,0.4329284119272138,621,0.23133592157941882,0.07172995780590717,46,0,4,1,0.12468375993462709,0.46689687420924497,0.6368607027663126,0.5044428530683119
neural:leave_out_LR01,0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.6918646508279338,0.7262260316617521,0.2874418604651163,0.7744360902255639,0.6780159730979403,0.41926729986431477,0.3326681565816353,0.09929002536300416,1613,766,90,309,0.11813894162575404,0.7997099727039331,0.4672342197389192,-0.3254488231222191,0.9154787263130441,0.014398848092152628,40,0.014398848092152628,629,854.5,0.4682612649141661,0.4509858466846701,0.4506781142752995,561,0.2171273136009874,0.06359300476947535,37,1,2,0,0.11542570672607348,0.4957514336101369,0.6843416586910425,0.5164485734124052
neural:leave_out_LR01,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.6785457163426926,0.7257503784682386,0.28063943161634103,0.7919799498746867,0.6595208070617906,0.41442622950819674,0.37123724258658647,0.1175091646582975,1569,810,83,316,0.11813894162575404,0.7840876887468776,0.3908550885565421,-0.7842953261053347,0.696006227695113,0.017998560115190784,50,0.017998560115190784,711,961.0,0.37230762269023576,0.35989605747617387,0.3551984418509789,621,0.17421179471857853,0.07032348804500703,49,0,1,0,0.1520619651111655,0.36550176820971747,0.5461245079835255,0.4076061141590277
neural:leave_out_LR01,0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.6922246220302376,0.7253932435123116,0.2873134328358209,0.7719298245614035,0.6788566624632199,0.4187627464309993,0.34677321798028965,0.10560663262942854,1615,764,91,308,0.11813894162575404,0.7949218359054425,0.4407650448262785,-0.6091286784820872,0.788945231037121,0.012958963282937365,36,0.012958963282937365,629,854.5,0.3857916233821706,0.37368387075819204,0.37048410465876797,561,0.16268117505329335,0.057233704292527825,36,0,0,0,0.13893721105220416,0.39333462520362494,0.5662260569239917,0.41956446773020856
neural:leave_out_LR01,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.6745860331173507,0.7203096012414391,0.27674624226348365,0.7844611528822055,0.6561580496006726,0.4091503267973856,0.391421105455037,0.1262146437548264,1561,818,86,313,0.11813894162575404,0.7797767853850684,0.37555109471333525,-0.9370443581379116,0.6177869237366682,0.01511879049676026,42,0.01511879049676026,711,961.0,0.3107296734534015,0.3023813748518263,0.2942960330320482,621,0.13777984018460412,0.05907172995780591,42,0,0,0,0.16233557381500038,0.2984988000055756,0.4634996523459753,0.33447223467628157
neural:leave_out_LR01,0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.6943844492440605,0.7266542775602309,0.28893058161350843,0.7719298245614035,0.6813787305590584,0.4204778156996587,0.3613125971692867,0.11216912427008549,1621,758,91,308,0.11813894162575404,0.7940316322542379,0.44561326719108485,-0.7808096781691749,0.7053689074005655,0.011519078473722102,32,0.011519078473722102,629,854.5,0.32170559724228637,0.31314147932965275,0.306413164065436,561,0.12807728838563182,0.05087440381558029,32,0,0,0,0.1456426295572547,0.3334041865043391,0.440530963372766,0.34559397935779196
neural:leave_out_LR01,1.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.672066234701224,0.7209243158337205,0.27583187390542907,0.7894736842105263,0.6523749474569147,0.408825438027255,0.4097483990067634,0.13382199004316261,1552,827,84,315,0.11813894162575404,0.7781786327946811,0.3710475679801186,-1.0406776309066448,0.5729198640594078,0.01511879049676026,42,0.01511879049676026,711,961.0,0.26967204337183065,0.2650519271935277,0.254269723342251,621,0.11589355729797929,0.05907172995780591,42,0,0,0,0.17800498389615083,0.262464704838666,0.4388516611523098,0.28281165378292406
