algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
XGBoost,0.0,validation,fixed_threshold_0.5,prespecified,2778,0.8639308855291576,0.5941082213731048,0.5695364238410596,0.21553884711779447,0.9726775956284153,0.31272727272727274,0.34098166820689346,0.10336912675655044,2314,65,313,86,0.5,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.15010799136069114,459,0.1652267818574514,722,972.0,0.5699154554402365,0.5441732622282471,0.5464752137527653,629,0.36939971809568556,0.6357340720221607,11,1,53,8,386,0.8668706868602228,0.084804724391213,0.6280662797347889,0.583404961449824,0.6442589094364617
XGBoost,0.0,test,fixed_threshold_0.5,prespecified,2778,0.8693304535637149,0.5962178460021428,0.6343283582089553,0.21303258145363407,0.9794031105506515,0.31894934333958724,0.32783613300787867,0.09776640131015564,2330,49,314,85,0.5,0.8027730107108881,0.4682172562859919,0.09362643509448579,1.0510456494183482,0.13462922966162708,403,0.14506839452843773,639,864.5,0.5857163222858828,0.5609378015684053,0.5647211176343592,566,0.35102987037414857,0.6306729264475743,9,0,36,15,343,0.7922094266636119,0.07587329210991299,0.6427528416533685,0.7219705071322714,0.6559312878666724
XGBoost,0.1,validation,fixed_threshold_0.5,prespecified,2778,0.8531317494600432,0.6211777868378385,0.4816326530612245,0.2957393483709273,0.9466162253047499,0.36645962732919257,0.345990758574575,0.10552690197164064,2252,127,281,118,0.5,0.7880814899796782,0.40536484339565887,-0.37632701802928226,0.900852870014021,0.11591072714182865,348,0.12526997840172785,722,972.0,0.5036233240077187,0.483444008929113,0.483914305590644,629,0.28305808718549713,0.481994459833795,9,2,36,7,294,0.8324393928523459,0.1183240762587812,0.5364219174722495,0.5435447787511751,0.5619011859547323
XGBoost,0.1,test,fixed_threshold_0.5,prespecified,2778,0.871130309575234,0.632729364394593,0.6040609137055838,0.2982456140350877,0.9672131147540983,0.39932885906040266,0.3291223672462998,0.09818578859244328,2301,78,280,119,0.5,0.8036995599549525,0.46683464451407203,-0.12546406124442136,1.0205112273465973,0.11231101511879049,332,0.11951043916486681,639,864.5,0.5189360444122836,0.49920247877730045,0.5017041208671862,566,0.26559394791306234,0.5195618153364632,8,0,27,15,282,0.740218767330026,0.10831078393493243,0.5489085206203551,0.6650865335439761,0.5748551062338101
XGBoost,0.25,validation,fixed_threshold_0.5,prespecified,2778,0.8426925845932326,0.6557582480792145,0.4460227272727273,0.39348370927318294,0.9180327868852459,0.4181091877496671,0.35837263545334136,0.11082556699042341,2184,195,242,157,0.5,0.7821371419300669,0.3928939638663461,-0.6297031392452024,0.7748889305664916,0.08099352051835854,233,0.08387329013678906,722,972.0,0.42842999313641755,0.4133175774814666,0.41184115590135284,629,0.21697209521366492,0.32271468144044324,9,3,17,6,198,0.7687077097781195,0.1354957876242157,0.43733587812725055,0.49623740083700535,0.47207464954791584
XGBoost,0.25,test,fixed_threshold_0.5,prespecified,2778,0.8650107991360692,0.6646170912780058,0.5425531914893617,0.38345864661654133,0.9457755359394704,0.44933920704845814,0.3372950114064939,0.10173584455112678,2250,129,246,153,0.5,0.7990541717892883,0.44641170414378917,-0.42484562769461676,0.874322711893404,0.08279337652987762,240,0.08639308855291576,639,864.5,0.44084655889191376,0.4259745628575377,0.4266402448474021,566,0.20201267115135427,0.3755868544600939,6,0,17,12,205,0.6434854739170458,0.12546283910595984,0.44877407126734736,0.6051167198174706,0.4829893769228067
XGBoost,0.5,validation,fixed_threshold_0.5,prespecified,2778,0.8189344852411807,0.6627460833673086,0.3864628820960699,0.44360902255639095,0.8818831441782261,0.4130688448074679,0.37905296426351365,0.12043211710183041,2098,281,222,177,0.5,0.7787248701830236,0.3868130147525362,-0.8568254226454114,0.6859376287947578,0.04283657307415407,120,0.04319654427645788,722,972.0,0.3475836397942426,0.3383340282165307,0.3334131667957336,629,0.16074603355835584,0.16620498614958448,9,6,9,6,90,0.6846084837189708,0.15766430716019333,0.34047113494030096,0.44205074661360333,0.3742965180306749
XGBoost,0.5,test,fixed_threshold_0.5,prespecified,2778,0.8452123830093593,0.6770457037928996,0.4595300261096606,0.44110275689223055,0.9129886506935687,0.45012787723785164,0.3531410908228819,0.10881283572974515,2172,207,223,176,0.5,0.7936070735898174,0.438549840644578,-0.6855228933988329,0.7730295040256125,0.04643628509719223,131,0.047156227501799854,639,864.5,0.35713343388010116,0.34795619807182193,0.34554893045006274,566,0.14844675951762085,0.20500782472613457,6,3,9,12,101,0.5776700818245064,0.14686308065484677,0.34791695128578887,0.5350866568654761,0.3831389934432515
XGBoost,0.75,validation,fixed_threshold_0.5,prespecified,2778,0.8023758099352052,0.6614218395926765,0.3557692307692308,0.46365914786967416,0.8591845313156788,0.40261153427638735,0.397860414014763,0.12856090306826512,2044,335,214,185,0.5,0.7763086783794291,0.3806211075867581,-0.9855904641855978,0.6135579842679626,0.021238300935925127,60,0.02159827213822894,722,972.0,0.2949984081924642,0.2887998202917145,0.2810626742117715,629,0.13052503890429162,0.08310249307479224,9,7,8,6,30,0.6018907699070393,0.16175386156234803,0.27968250751164814,0.39704395052345376,0.3128999300498293
XGBoost,0.75,test,fixed_threshold_0.5,prespecified,2778,0.822174226061915,0.6729813183652701,0.3978494623655914,0.46365914786967416,0.882303488860866,0.42824074074074076,0.3690553246537226,0.11596759199668095,2099,280,214,185,0.5,0.7920684434920845,0.4269320576220067,-0.8410647147244519,0.6869717412825884,0.01907847372210223,54,0.019438444924406047,639,864.5,0.30154935524865256,0.29547595554934625,0.2904961173254456,566,0.11952356046898588,0.08450704225352113,6,7,8,10,23,0.5061421556352442,0.1524943687222331,0.28232562302256575,0.47995533740378843,0.3187595654830505
